epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8126,1.99126,3.35736,1.58304,0.008,1,0.061,0.01297,1.53641,3.41203,1.49895,4e-05,4e-05,4e-05
2,22.6598,1.52241,3.17515,1.34454,0.008,1,0.08141,0.03257,1.04273,3.08399,1.09208,9.901e-05,9.901e-05,9.901e-05
3,28.5063,1.12342,2.87034,1.07281,0.008,1,0.4525,0.23199,1.01199,2.7988,0.9151,0.000156832,0.000156832,0.000156832
4,34.7805,0.98644,2.65668,1.02496,0.008,1,0.91232,0.60515,0.9877,2.71072,0.88045,0.000213466,0.000213466,0.000213466
5,40.9913,1.10762,2.53959,1.01399,0.008,1,0.97577,0.67528,1.04161,2.68616,0.89651,0.000268912,0.000268912,0.000268912
6,46.7009,1.02334,2.22809,0.94003,0.008,1,0.995,0.59708,1.18229,2.71765,0.97517,0.00032317,0.00032317,0.00032317
7,52.5799,1.0747,1.97878,0.96475,0.008,1,0.98885,0.63993,1.10129,2.66883,0.92388,0.00037624,0.00037624,0.00037624
8,58.9857,0.97925,1.69496,0.91511,0.008,1,0.995,0.70568,1.0104,2.52483,0.8883,0.000428122,0.000428122,0.000428122
9,64.906,1.1091,1.78208,1.03243,0.008,1,0.995,0.63723,1.12552,2.45608,0.92311,0.000478816,0.000478816,0.000478816
10,70.5257,1.02352,1.44474,0.98661,0.01295,1,0.995,0.66207,1.10534,2.36546,0.91607,0.000528322,0.000528322,0.000528322
11,76.674,1.06644,1.37395,1.0477,0.01226,1,0.995,0.69841,1.07143,2.35897,0.8993,0.00057664,0.00057664,0.00057664
12,82.7584,0.92254,1.22628,0.9833,0.01191,1,0.995,0.68008,1.03526,2.4163,0.91538,0.00062377,0.00062377,0.00062377
13,88.5615,0.98921,1.49204,1.04463,0.02367,1,0.995,0.7333,1.02252,2.36561,0.90711,0.000669712,0.000669712,0.000669712
14,94.314,0.8968,1.53043,0.9686,0.98342,1,0.995,0.67785,1.08372,2.3265,0.91296,0.000714466,0.000714466,0.000714466
15,100.041,1.04786,1.2501,1.02521,0.98342,1,0.995,0.67785,1.08372,2.3265,0.91296,0.000758032,0.000758032,0.000758032
16,105.751,0.89692,1.04896,0.94595,1,0.89098,0.995,0.70113,1.10505,2.31676,0.89614,0.00080041,0.00080041,0.00080041
17,111.273,0.90154,1.07669,0.94669,0.35943,1,0.94929,0.59643,1.16216,2.43155,0.95094,0.0008416,0.0008416,0.0008416
18,117.325,0.85057,1.36415,0.90228,0.35943,1,0.94929,0.59643,1.16216,2.43155,0.95094,0.000881602,0.000881602,0.000881602
19,123.176,1.03637,1.26024,1.03264,1,0.58004,0.995,0.67103,1.16662,2.09969,0.96452,0.000920416,0.000920416,0.000920416
20,128.77,1.09215,1.13488,0.98041,1,0.95005,0.995,0.72845,1.12493,1.79154,0.91494,0.000958042,0.000958042,0.000958042
21,135.103,0.92053,1.11531,0.99359,1,0.95005,0.995,0.72845,1.12493,1.79154,0.91494,0.00099448,0.00099448,0.00099448
22,141.77,1.15412,1.15831,1.04842,1,0.98459,0.995,0.6743,1.19201,1.66116,0.94637,0.00102973,0.00102973,0.00102973
23,148.57,1.05724,1.18086,1.03269,1,0.98459,0.995,0.6743,1.19201,1.66116,0.94637,0.00106379,0.00106379,0.00106379
24,155.88,0.94649,1.00224,0.942,1,0.98272,0.995,0.72539,1.05048,1.70911,0.91979,0.00109667,0.00109667,0.00109667
25,163.428,0.8746,1.08689,0.99831,1,0.98272,0.995,0.72539,1.05048,1.70911,0.91979,0.00112835,0.00112835,0.00112835
26,171.22,0.94203,0.99659,0.97322,1,0.99691,0.995,0.74121,0.94704,1.63912,0.88562,0.00115885,0.00115885,0.00115885
27,177.313,0.9166,0.96502,0.95218,1,0.99691,0.995,0.74121,0.94704,1.63912,0.88562,0.00118816,0.00118816,0.00118816
28,182.909,1.02076,1.0646,1.08135,0.97438,1,0.995,0.76333,0.89302,1.68237,0.92679,0.00121628,0.00121628,0.00121628
29,188.502,0.86146,0.97884,1.01289,0.97438,1,0.995,0.76333,0.89302,1.68237,0.92679,0.00124322,0.00124322,0.00124322
